,prey_density,salinity,prey_type,mean_consumed,se_consumed,n
0,5.0,20gL,cyclop,2.812499999999986,1.5625,4.0
1,10.0,20gL,cyclop,5.0,0.46875,4.0
2,15.0,20gL,cyclop,6.25,0.78125,4.0
3,20.0,20gL,cyclop,9.0625,1.09375,4.0
4,30.0,20gL,cyclop,10.625,0.625,4.0
5,40.0,20gL,cyclop,16.5625,2.1875,4.0
6,5.0,20gL,harp,1.8604651162790873,0.7751937984496067,4.0
7,10.0,20gL,harp,3.720930232558132,0.9302325581395436,4.0
8,15.0,20gL,harp,4.961240310077528,0.9302325581395365,4.0
9,20.0,20gL,harp,9.922480620155042,1.3953488372092977,4.0
10,30.0,20gL,harp,19.224806201550393,3.720930232558139,4.0
11,40.0,20gL,harp,30.07751937984496,1.3953488372092995,4.0
12,10.0,20gL,rotifera,6.046511627906966,0.6976744186046488,4.0
13,20.0,20gL,rotifera,9.767441860465112,0.6976744186046488,4.0
14,40.0,20gL,rotifera,13.023255813953485,1.6279069767441854,4.0
15,60.0,20gL,rotifera,28.372093023255815,1.16279069767441,4.0
16,80.0,20gL,rotifera,32.09302325581396,1.6279069767441854,4.0
17,120.0,20gL,rotifera,50.697674418604635,2.790697674418606,4.0
18,5.0,30gL,harp,3.851851851851848,0.5925925925925952,4.0
19,10.0,30gL,harp,8.0,0.5925925925926094,4.0
20,15.0,30gL,harp,13.629629629629648,0.592592592592581,4.0
21,20.0,30gL,harp,15.111111111111114,0.7407407407407476,4.0
22,30.0,30gL,harp,24.59259259259261,0.8888888888888857,4.0
23,40.0,30gL,harp,26.96296296296296,3.1111111111111,4.0
24,60.0,30gL,harp,34.37037037037035,4.296296296296305,4.0
25,5.0,30gL,cyclop,3.75,0.625,4.0
26,10.0,30gL,cyclop,7.5,1.40625,4.0
27,15.0,30gL,cyclop,7.5,1.09375,4.0
28,20.0,30gL,cyclop,14.062500000000028,1.0937499999999858,4.0
29,30.0,30gL,cyclop,21.56250000000003,1.0937499999999858,4.0
30,40.0,30gL,cyclop,30.3125,1.8749999999999858,4.0
31,60.0,30gL,cyclop,33.75,3.906249999999986,4.0
32,10.0,30gL,rotifera,4.218750000000028,0.9374999999999858,4.0
33,20.0,30gL,rotifera,11.25,1.875,4.0
34,40.0,30gL,rotifera,10.781250000000028,3.515625,4.0
35,59.0,30gL,rotifera,26.71875000000003,2.109375,4.0
36,80.0,30gL,rotifera,22.96875,7.265624999999986,4.0
37,120.0,30gL,rotifera,23.4375,2.109375,4.0
38,10.0,10gL,rotifera,6.012684989429161,0.9302325581395294,4.0
39,20.0,10gL,rotifera,9.699788583509516,1.1627906976744171,4.0
40,41.0,10gL,rotifera,17.073995771670184,4.8837209302325615,4.0
41,60.0,10gL,rotifera,10.964059196617342,3.720930232558139,4.0
42,80.0,10gL,rotifera,22.05919661733617,6.511627906976749,4.0
43,120.0,10gL,rotifera,27.04228329809727,6.744186046511629,4.0
44,5.0,10gL,harp,1.2765957446808756,0.6249999999999928,4.0
45,10.0,10gL,harp,5.364029255319167,0.7812499999999929,4.0
46,15.0,10gL,harp,7.265625000000014,0.9375,4.0
47,20.0,10gL,harp,9.16722074468086,1.2500000000000062,4.0
48,30.0,10gL,harp,11.718750000000009,1.8750000000000044,4.0
49,40.0,10gL,harp,12.70777925531916,2.1874999999999956,4.0
50,5.0,10gL,cyclop,3.696190004948036,0.7751937984496138,4.0
51,10.0,10gL,cyclop,5.221837374237168,2.016328550222667,4.0
52,15.0,10gL,cyclop,7.984496124030997,1.0852713178294584,4.0
53,20.0,10gL,cyclop,9.508494144812786,0.930232558139533,4.0
54,30.0,10gL,cyclop,16.27906976744186,1.240310077519382,4.0
55,40.0,10gL,cyclop,18.39848259937325,2.170542635658915,4.0
